Decade,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,valence,tempo,duration_ms
1970,0.58,0.559,6,"-12,855",0.0326,0.0864,0.00816,0.964,129.16,193933
1970,0.53,0.877,0,"-6,237",0.238,0.734,1.59E-06,0.886,"149,032",198520
1970,0.431,0.443,10,"-12,655",0.0357,0.713,0,0.425,137.16,229493
1970,0.368,0.507,11,"-12,139",0.0722,0.0519,2.05E-06,0.618,"95,933",498653
1970,0.402,0.911,0,"-8,396",0.0818,0.0165,0.00135,0.591,"176,941",285907
1970,0.617,0.785,2,-5.8,0.0565,0.636,0,0.92,"138,057",195787
1970,0.721,0.52,11,-12.38,0.0299,0.115,0.00384,0.963,105.45,160400
1970,0.408,0.511,6,"-7,225",0.0263,0.475,0,0.354,"80,176",141720
1970,0.701,0.83,11,"-10,517",0.0667,0.125,0.329,0.648,"107,772",492013
1970,0.678,0.854,4,"-10,678",0.0349,0.0932,0,0.962,"129,638",223800
1970,0.705,0.499,1,"-7,969",0.0265,0.409,6.59E-05,0.391,"98,686",229507
1970,0.593,0.205,9,"-14,601",0.0479,0.896,5.46E-05,0.377,"140,279",179760
1970,0.708,0.805,7,"-7,618",0.0301,0.398,0.000249,0.976,"129,185",174960
1970,0.38,0.76,9,"-10,961",0.0378,0.00298,0.0294,0.491,"99,437",274133
1970,0.711,0.737,8,"-8,368",0.131,0.135,0,0.85,"114,881",179200
1970,0.332,0.371,4,"-9,884",0.0396,0.729,0.00021,0.375,"173,273",249093
1970,0.39,0.475,8,"-11,564",0.0706,0.631,0,0.43,"145,538",179453
1970,0.863,0.74,11,"-8,285",0.235,0.0543,0.0026,0.901,"125,282",197827
1970,0.361,0.524,2,"-10,191",0.0772,0.568,0.00032,0.377,"79,507",224707
1970,0.649,0.585,2,"-13,494",0.043,0.098,0,0.977,"78,218",156507
1970,0.726,0.625,2,"-9,346",0.0618,0.0773,0.000143,0.754,"96,982",201333
1970,0.604,0.55,6,"-10,487",0.0436,0.491,0,0.933,"81,665",150173
1970,0.722,0.592,2,"-12,053",0.0298,0.0886,0,0.956,"119,969",168960
1970,0.84,0.431,8,"-15,631",0.0377,0.327,0.0193,0.855,"103,926",236640
1970,0.392,0.424,2,"-11,022",0.0379,0.786,0.00636,0.404,74.02,295000
1970,0.485,0.378,0,-12.53,0.0284,0.357,1.57E-05,0.38,116.17,247013
1970,0.719,0.395,1,"-9,581",0.0335,0.349,5.07E-05,0.718,"113,036",204760
1970,0.319,0.407,2,"-9,566",0.0261,0.31,0.0011,0.347,"80,883",207467
1970,0.664,0.88,2,"-5,009",0.0326,0.465,1.63E-05,0.895,"133,898",210760
1970,0.544,0.556,7,"-11,006",0.0887,0.303,0,0.835,"184,809",184733
1970,0.551,0.292,10,"-17,125",0.0383,0.822,7.04E-06,0.623,"85,272",173640
1970,0.563,0.436,8,"-8,661",0.0347,0.682,0,0.451,"109,843",210800
1970,0.619,0.903,1,"-7,923",0.15,0.125,0,0.697,"117,816",381733
1970,0.743,0.443,0,"-14,524",0.0301,0.101,0.000683,0.715,"96,481",271893
1970,0.425,0.452,9,"-8,869",0.0255,0.642,0,0.576,"143,859",180520
1970,0.689,0.324,4,"-16,505",0.0263,0.473,0.0024,0.569,"94,196",210400
1970,0.688,0.506,0,"-13,311",0.0408,0.316,0.69,0.784,"108,753",182533
1970,0.688,0.577,11,"-12,093",0.0292,0.493,1.04E-05,0.961,"109,077",206080
1970,0.392,0.697,5,"-10,569",0.057,0.437,0.00949,0.713,"134,981",202200
1970,0.559,0.323,2,"-13,495",0.0303,0.872,0.000253,0.536,"109,777",214867
1970,0.738,0.585,9,"-8,381",0.123,0.357,0,0.885,126.6,202547
1970,0.417,0.536,7,"-14,012",0.0426,0.347,0.00017,0.797,"108,077",138867
1970,0.333,0.372,2,"-13,418",0.0305,0.22,1.34E-06,0.595,"142,732",153160
1970,0.618,0.692,8,"-8,139",0.0298,0.445,9.29E-05,0.755,"105,236",209351
1970,0.485,0.328,7,"-11,853",0.0254,0.00596,0.0032,0.138,"79,766",233133
1970,0.464,0.359,10,"-12,938",0.029,0.563,0,0.603,"88,221",155760
1970,0.611,0.63,10,"-7,667",0.0298,0.0489,0,0.958,"108,151",137800
1970,0.525,0.673,5,"-7,611",0.0355,0.578,0,0.524,"134,375",188200
1970,0.55,0.902,10,"-8,421",0.0546,0.0792,0.0064,0.883,"114,702",198907
1970,0.727,0.548,10,"-7,393",0.0291,0.0628,0.526,0.929,"107,826",289267
1970,0.732,0.239,2,"-12,203",0.037,0.681,1.16E-06,0.377,110.58,188600
1970,0.795,0.564,7,"-10,482",0.0392,0.0934,0.000531,0.961,"124,166",203893
1970,0.392,0.364,5,"-9,905",0.0276,0.91,0.281,0.144,"69,892",181933
1970,0.666,0.664,0,"-8,061",0.0272,0.286,1.60E-05,0.82,"116,319",252169
1970,0.687,0.918,1,"-4,767",0.0498,0.171,0.000586,0.859,"122,725",233080
1970,0.714,0.331,1,"-14,443",0.0983,0.186,0.0889,0.747,"180,647",270693
1970,0.414,0.428,0,"-11,097",0.0278,0.382,0.000243,0.282,"145,075",377093
1970,0.678,0.688,0,"-10,388",0.0637,0.00161,0.747,0.559,124.94,225093
1970,0.459,0.681,2,"-8,773",0.0794,0.254,0,0.68,125.02,304440
1970,0.279,0.646,4,"-7,907",0.0464,0.231,0.0011,0.485,"142,649",225053
1970,0.626,0.742,0,"-5,002",0.0657,0.408,0,0.605,"114,969",232720
1970,0.662,0.71,10,"-10,656",0.0289,0.236,0.00367,0.936,"133,651",158507
1970,0.623,0.764,4,"-4,686",0.0418,0.0229,0,0.894,"119,717",145173
1970,0.745,0.373,4,"-13,002",0.0325,0.412,8.88E-05,0.904,"111,297",170893
1970,0.734,0.641,5,"-8,471",0.0662,0.00603,0.372,0.868,"103,813",541827
1970,0.489,0.577,10,"-9,765",0.042,0.233,0,0.519,"78,112",222951
1970,0.437,0.611,9,"-11,654",0.0466,0.687,0.0396,0.865,"126,251",209040
1970,0.507,0.564,2,-9.53,0.0388,0.465,0,0.4,"126,734",261178
1970,0.724,0.598,7,"-6,522",0.0325,0.116,0.00725,0.786,"114,987",180693
1970,0.589,0.453,7,"-8,912",0.0397,0.703,2.54E-05,0.513,"139,148",290573
1970,0.643,0.558,7,"-11,919",0.033,0.0304,4.32E-06,0.922,"134,818",237267
1970,0.375,0.26,0,"-16,294",0.0269,0.41,0.218,0.54,95.18,226952
1970,0.748,0.62,7,"-9,284",0.0457,0.0538,4.65E-06,0.9,121.36,177213
1970,0.49,0.75,4,"-10,012",0.0353,0.145,2.37E-05,0.961,"169,826",138200
1970,0.655,0.606,7,"-10,385",0.0285,0.0603,0.0789,0.765,"110,061",291686
1970,0.608,0.823,7,"-9,387",0.0545,0.00249,0.00147,0.825,"104,274",179133
1970,0.822,0.457,6,"-10,937",0.235,0.214,0.000397,0.73,99.16,307063
1970,0.254,0.38,4,"-13,806",0.0337,0.672,0,0.408,"168,496",233533
1970,0.559,0.432,5,"-12,366",0.0273,0.375,1.20E-06,0.5,"92,378",249173
1970,0.657,0.857,11,-7.02,0.0456,0.0716,1.52E-05,0.624,"125,858",212987
1970,0.577,0.853,10,"-8,097",0.112,0.00585,0.00699,0.882,"191,255",171600
1970,0.423,0.534,6,"-14,465",0.11,0.639,0.83,0.605,"162,055",232760
1970,0.445,0.529,0,-10.94,0.026,0.261,0.0162,0.749,"79,296",183733
1970,0.0908,0.461,0,"-13,932",0.0409,0.028,0.69,0.523,"72,399",270507
1970,0.693,0.739,1,"-10,047",0.0601,0.2,0.0469,0.775,"91,399",229707
1970,0.27,0.641,5,"-5,902",0.0354,0.0405,0.00438,0.352,76.31,255183
1970,0.539,0.866,0,"-8,404",0.0483,0.0866,0.00414,0.761,"130,345",372893
1970,0.823,0.602,0,"-16,175",0.0574,0.0268,0.00095,0.844,"120,971",198360
1970,0.52,0.864,5,"-5,469",0.0636,0.428,1.14E-05,0.775,"86,988",215280
1970,0.446,0.4,7,"-16,993",0.0579,0.272,1.09E-05,0.625,"140,091",233267
1970,0.631,0.742,0,"-7,243",0.108,0.627,0,0.67,"90,408",174093
1970,0.427,0.604,10,"-6,416",0.0248,0.288,0.000151,0.851,"162,056",208773
1970,0.599,0.613,8,"-9,978",0.0344,0.163,1.66E-06,0.767,84.22,206707
1970,0.872,0.384,0,"-16,204",0.0388,0.418,0.317,0.938,"102,597",515000
1970,0.591,0.903,9,"-3,765",0.0324,0.46,0.00115,0.961,"73,598",190347
1970,0.763,0.679,1,"-12,132",0.0318,0.0289,0.862,0.726,"125,126",224240
1970,0.478,0.386,1,"-12,634",0.031,0.231,6.59E-05,0.541,"121,105",204867
1970,0.354,0.737,9,"-5,975",0.0377,0.203,0,0.568,"84,622",230947
1970,0.255,0.742,2,"-7,232",0.0489,0.307,0.0001,0.53,"96,493",194773
1970,0.422,0.943,10,"-4,365",0.0954,0.074,6.83E-05,0.845,"165,764",182133
1970,0.415,0.658,4,"-12,051",0.0696,4.52E-05,0.000735,0.45,"163,015",168406
1970,0.607,0.681,2,"-12,471",0.0489,0.0928,0.00041,0.784,95.48,233720
1970,0.327,0.281,0,"-10,663",0.0276,0.323,0.00418,0.151,147.72,219520
1970,0.504,0.803,9,"-8,788",0.0293,0.177,5.37E-05,0.953,"144,925",263867
